413;Clients - Effets à recevoir
416;Clients douteux ou litigieux Fournisseurs - Autres avoirs
418;Clients - Produits non encore facturés Fournisseurs d'exploitation
419;Clients créditeurs
421;Personnel - Rémunérations dues
422;Comités d'entreprises, d'établissement
424;Participation des salariés aux résultats
425;Personnel - Avances et acomptes Clients - Avances et acomptes reçus sur commandes
426;Personnel - Dépôts Clients - Dettes sur emballages et matériels consignés
427;Personnel - Oppositions
428;Personnel - Charges à payer et produits à recevoir
431;Sécurité sociale
437;Autres organismes sociaux
438;Organismes sociaux - Charges à payer et produits à recevoir Personnel - Dépôts
441;État - Subventions à recevoir
442;Etat - Impôts et taxes recouvrables sur des tiers
443;Opérations particulières avec l'Etat, les collectivités publiques, les organismes internationaux
444;Etat - Impôts sur les bénéfices
445;Etat - Taxes sur le chiffre d'affaires
446;Obligations cautionnées
447;Autres impôts, taxes et versements assimilés
448;Etat - Charges à payer et produits à recevoir Taxes assimilées à la TVA
449;Quotas d'émission à restituer à l'Etat
451;Groupe
455;Associés - Comptes courants
456;Associés - Opérations sur le capital
457;Associés - Dividendes à payer
458;Associés - Opérations faites en commun et en GIE
462;Créances sur cessions d'immobilisations
464;Dettes sur acquisitions de valeurs mobilières de placement
465;Créances sur cessions de valeurs mobilières de placement
467;Autres comptes débiteurs ou créditeurs Actionnaires défaillants
468;Divers - Charges à payer et produits à recevoir
471;Comptes d'attente
475;Comptes d'attente suite 471
476;Différence de conversion - Actif
477;Différences de conversion - Passif Autres comptes débiteurs ou créditeurs
478;Autres comptes transitoires
481;Charges à répartir sur plusieurs exercices Différence de conversion - Actif
486;Charges constatées d'avance
487;Produits constatés d'avance
488;Comptes de répartition périodique des charges et des produits Différences de conversion - Passif
489;Quotas d'émission alloués par l'Etat
491;Provisions pour dépréciation des comptes de clients
495;Provisions pour dépréciation des comptes du groupe et des associés
496;Provisions pour dépréciation des comptes de débiteurs divers
501;Parts dans des entreprises liées
502;Actions propres
503;Actions
504;Autres titres conférant un droit de propriété
505;Obligations et bons émis par la société et rachetés par elle
506;Obligations
507;Bons du Trésor et bons de caisse à court terme
508;Autres valeurs mobilières de placement et autres créances assimilées
509;Versements restant à effectuer sur valeurs mobilières de placement non libérées Autres titres conférant un droit de propriété
511;Valeurs à l'encaissement Obligations
512;Banques Autres valeurs mobilières
514;Chèques postaux
515;Caisses du Trésor et des établissements publics
516;Sociétés de bourse
517;Autres organismes financiers Coupons échus à l'encaissement
518;Intérêts courus
519;Concours bancaires courants Banques
531;Caisse siège social
532;Caisse succursale (ou usine) A
533;Caisse succursale (ou usine) B
590;Provisions pour dépréciation des valeurs mobilières de placement
601;Achats stockés - Matières premières (et fournitures)
602;Achats stockés - Autres approvisionnements
604;Achats d'études et prestations de services Fournitures consommables
605;Achats de matériel, équipements et travaux
606;Achats non stockés de matière et fournitures
607;Achats de marchandises
609;Rabais, remises et ristournes obtenus sur achats Achats d'études et prestations de services
611;Sous-traitance générale
612;Redevances de crédit-bail
613;Locations
614;Charges locatives et de copropriété
615;Entretien et réparations
616;Primes d'assurances Crédit-bail immobilier
617;Etudes et recherches Maintenance
618;Divers
619;Rabais, remises et ristournes obtenus sur services extérieurs
621;Personnel extérieur à l'entreprise
622;Rémunérations d'intermédiaires et honoraires
623;Publicité, publications, relations publiques
624;Transports de biens et transports collectifs du personnel
625;Déplacements, missions et réceptions
626;Frais postaux et de télécommunications Transports sur ventes
627;Services bancaires et assimilés
628;Divers
629;Rabais, remises et ristournes obtenus sur autres services extérieurs
631;Impôts, taxes et versements assimilés sur rémunérations (administrations des impôts)
633;Impôts, taxes et versements assimilés sur rémunérations (autres organismes)
635;Autres impôts, taxes et versements assimilés (administrations des impôts)
637;Autres impôts, taxes et versements assimilés (autres organismes)
641;Rémunérations du personnel
644;Rémunération du travail de l'exploitant
645;Charges de sécurité sociale et de prévoyance
646;Cotisations sociales personnelles de l'exploitant
647;Autres charges sociales
648;Autres charges de personnel Cotisations aux caisses de retraites
651;Redevances pour concessions, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires
653;Jetons de présence
654;Pertes sur créances irrécouvrables
655;Quote-part de résultat sur opérations faites en commun
658;Charges diverses de gestion courante
661;Charges d'intérêts Autres droits et valeurs similaires
664;Pertes sur créances liées à des participations
665;Escomptes accordés
666;Pertes de change
667;Charges nettes sur cessions de valeurs mobilières de placement
668;Autres charges financières Intérêts des comptes courants et des dépôts créditeurs
671;Charges exceptionnelles sur opérations de gestion
672;Compte à la disposition des entités pour enregistrer, en cours d'exercice, les charges sur exercices antérieurs
675;Valeurs comptables des éléments d'actif cédés
678;Autres charges exceptionnelles
681;Dotations aux amortissements et aux provisions - Charges d'exploitation Dotations aux amortissements sur imm incorporelles et corporelles
686;Dotations aux amortissements et aux provisions - Charges financières
687;Dotations aux amortissements et aux provisions - Charges exceptionnelles Dotations aux provisions pour dépréciation des actifs circulants
691;Participation des salariés aux résultats Autres dotations
695;Impôts sur les bénéfices
696;Suppléments d'impôt sur les sociétés liés aux distributions
697;Imposition forfaitaire annuelle des sociétés
698;Intégration fiscale
699;Produits - Reports en arrière des déficits
701;Ventes de produits finis
702;Ventes de produits intermédiaires
703;Ventes de produits résiduels
704;Travaux
705;Etudes
706;Prestations de services
707;Ventes de marchandises
708;Produits des activités annexes
709;Rabais, remises et ristournes accordés par l'entreprise
713;Variation des stocks (en-cours de production, produits)
721;Immobilisations incorporelles Produits en cours
722;Immobilisations corporelles Travaux en cours
751;Redevances pour concessions, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires Prestations de services en cours
752;Revenus des immeubles non affectés à des activités professionnelles
753;Jetons de présence et rémunérations d'administrateurs, gérants,
754;Ristournes perçues des coopératives (provenant des excédents) Immobilisations incorporelles
755;Quotes-parts de résultat sur opérations faites en commun
758;Produits divers de gestion courante Redevances pour concessions, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires
761;Produits de participations
762;Produits des autres immobilisations financières Ristournes perçues des coopératives (provenant des excédents)
763;Revenus des autres créances
764;Revenus des valeurs mobilières de placement
765;Escomptes obtenus
766;Gains de change
767;Produits nets sur cessions de valeurs mobilières de placement Produits des autres immobilisations financières
768;Autres produits financiers Revenus des titres immobilisés
771;Produits exceptionnels sur opérations de gestion
772;Compte à la disposition des entités pour enregistrer, en cours d'exercice, les produits sur exercices antérieurs
775;Produits des cessions d'éléments d'actif
777;Quote-part des subventions d'investissement virée au résultat de l'exercice
778;Autres produits exceptionnels
781;Reprises sur amortissements et provisions (à inscrire dans les produits d'exploitation)
786;Reprises sur provisions pour risques (à inscrire dans les produits financiers)
787;Reprises sur provisions (à inscrire dans les produits exceptionnels) Immobilisations incorporelles
791;Transferts de charges d'exploitation
796;Transferts de charges financières
797;Transferts de charges exceptionnelles
801;Engagements donnés par l'entité
802;Engagements reçus par l'entité
809;Contrepartie des engagements
1011;Capital souscrit - non appelé
1012;Capital souscrit - appelé, non versé
1018;Capital souscrit soumis à des réglementations particulières
1041;Primes d'émission
1042;Primes de fusion
1044;Primes de conversion d'obligations en actions
1045;Bons de souscription d'actions
1051;Réserve spéciale de réévaluation
1052;Ecart de réévaluation libre
1053;Réserve de réévaluation
1055;Ecarts de réévaluation (autres opérations légales)
1057;Autres écarts de réévaluation en France
1058;Autres écarts de réévaluation à l'étranger
1061;Réserve légale
1064;Réserves réglementées
1311;Etat
1312;Régions
1313;Départements
1314;Communes
1315;Collectivités publiques
1316;Entreprises publiques
1317;Entreprises et organismes privés
1318;Autres
1391;Subventions d'équipement
1423;Provisions pour reconstitution des gisements miniers et pétroliers
1431;Hausse des prix
1432;Fluctuation des cours
1513;Provisions pour pertes sur marchés à terme
1515;Provisions pour pertes de change
1516;Provisions pour pertes sur contrats
1581;Provisions pour remises en état
1651;Dépôts
1655;Cautionnements
1661;Comptes bloqués
1662;Fonds de participation
1671;Emissions de titres participatifs
1674;Avances conditionnées de l'Etat
1675;Emprunts participatifs
1681;Autres emprunts
1687;Autres dettes
1781;Principal
1788;Intérêts courus
2011;Frais de constitution
2013;Frais d'augmentation de capital et d'opérations
2111;Terrains nus
2112;Terrains aménagés
2115;Terrains bâtis
2116;Compte d'ordre sur immobilisations
2131;Bâtiments
2135;Installations générales - agencements - aménagements des constructions
2138;Ouvrages d'infrastructure
2151;Installations complexes spécialisées
2153;Installations à caractère spécifique
2154;Matériels industriels
2155;Outillage industriel
2181;Installations générales, agencements, aménagements divers
2182;Matériel de transport
2183;Matériel de bureau et matériel informatique
2312;Terrains
2313;Constructions
2315;Installations techniques, matériel et outillage industriels
2383;Constructions
2385;Installations techniques, matériel et outillage industriels
2388;Autres immobilisations corporelles
2618;Autres titres
2671;Créances rattachées à des participations (groupe)
2675;Versements représentatifs d'apports non capitalisés (appel de fonds)
2676;Avances consolidables
2678;Intérêts courus
2711;Actions
2721;Obligations
2741;Prêts participatifs
2742;Prêts aux associés
2743;Prêts au personnel
2748;Autres prêts
2751;Dépôts
2755;Cautionnements
2761;Créances diverses
2772;Actions propres ou parts propres en voie d’annulation
2801;Frais d'établissement
2803;Frais de recherche et de développement
2807;Fonds commercial
2811;Terrains de gisement
2812;Agencements, aménagements de terrains
2813;Constructions (même ventilation que celle du compte )
2815;Installations, matériel et outillage industriels
2906;Droit au bail
2907;Fonds commercial
2908;Autres immobilisations incorporelles
2931;Immobilisations corporelles en cours
2932;Immobilisations incorporelles en cours
2961;Titres de participation
2966;Autres formes de participation
2967;Créances rattachées à des participations
2968;Créances rattachées à des sociétés en participation
2971;Titres immobilisés autres que les titres immobilisés de l'activité de portefeuille - droit de propriété
2972;Titres immobilisés - droit de créance
2973;Titres immobilisés de l'activité de portefeuille
2974;Prêts (même ventilation que celle du compte )
2975;Dépôts et cautionnements versés
2976;Autres créances immobilisées
3211;Matières (ou groupe) C
3212;Matières (ou groupe) D
3222;Produits d'entretien
3223;Fournitures d'atelier et d'usine
3225;Fournitures de bureau
3261;Emballages perdus
3267;Emballages à usage mixte
3311;Produits en cours P
3312;Produits en cours P
3352;Travaux en cours T
3411;Etudes en cours E
3412;Etudes en cours E
3451;Prestations de services S
3452;Prestations de services S
3511;Produits intermédiaires (ou groupe) A
3551;Produits finis (ou groupe) A
3552;Produits finis (ou groupe) B
3581;Déchets
3585;Rebuts
3586;Matières de récupération
3912;Matières (ou groupe B)
3917;Fournitures A, B, C,
3921;Matières consommables
3922;Fournitures consommables
3931;Produits en cours
3935;Travaux en cours
3941;Etudes en cours (même ventilation que celle du compte )
3945;Prestations de services en cours
3951;Produits intermédiaires
3955;Produits finis
3971;Marchandise (ou groupe A)
3972;Marchandise (ou groupe B)
4011;Fournisseurs - Achats de biens et prestations de services
4041;Fournisseurs - Achats d'immobilisations
4047;Fournisseurs d'immobilisations - Retenues de garantie
4081;Fournisseurs
4091;Fournisseurs - Avances et acomptes versés sur commandes
4098;Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus
4111;Clients - Ventes de biens ou de prestations de services
4117;Clients - Retenues de garantie
4188;Clients - Intérêts courus
4246;Réserve spéciale (art L - du code du travail)
4282;Dettes provisionnées pour congés à payer
4284;Dettes provisionnées pour participation des salariés aux résultats
4287;Produits à recevoir
4382;Charges sociales sur congés à payer
4386;Autres charges à payer
4418;Subventions d'équilibre
4419;Avances sur subventions
4424;Obligataires
4425;Associés
4431;Créances sur l'Etat résultant de la suppression de la règle du décalage d'un mois en matière de TVA
4438;Intérêts courus sur créances figurant au compte
4452;TVA due intracommunautaire
4455;Taxes sur le chiffre d'affaires à décaisser
4456;Taxes sur le chiffre d'affaires déductibles
4458;Taxes sur le chiffre d'affaires à régulariser ou en attente
4482;Charges fiscales sur congés à payer
4486;Charges à payer
4487;Produits à recevoir
4551;Principal
4558;Intérêts courus
4562;Apporteurs - Capital appelé, non versé
4581;Opérations courantes
4686;Charges à payer
4687;Produits à recevoir
4761;Diminution des créances
4771;Augmentation des créances
4772;Diminution des dettes
4816;Frais d'émission des emprunts
4886;Charges
4887;Produits
4951;Comptes du groupe
4955;Comptes courants des associés
4958;Opérations faites en commun et en GIE
4962;Créances sur cessions d'immobilisations
4965;Créances sur cessions de valeurs mobilières de placement
4967;Autres comptes débiteurs
5031;Titres cotés
5035;Titres non cotés
5061;Titres cotés
5065;Titres non cotés
5082;Bons de souscription
5088;Intérêts courus sur obligations, bons et valeurs assimilés
5113;Effets à l'encaissement
5114;Effets à l'escompte
5121;Comptes en monnaie nationale
5124;Comptes en devises
5181;Intérêts courus à payer
5191;Crédit de mobilisation de créances commerciales (CMCC)
5193;Mobilisation de créances nées à l'étranger
5198;Intérêts courus sur concours bancaires courants
5311;Caisse en monnaie nationale
5314;Caisse en devises
5903;Actions
5906;Obligations
5908;Autres valeurs mobilières de placement et créances assimilées
6011;Matières (ou groupe) A
6012;Matières (ou groupe) B
6017;Fournitures A, B, C,
6021;Matières consommables
6026;Emballages
6031;Variation des stocks de matières premières (et fournitures) Marchandise (ou groupe) B
6032;Variation des stocks des autres approvisionnements Rabais, remises et ristournes obtenus sur achats
6037;Variation des stocks de marchandises de matières premières (et fournitures)
6061;Fournitures non stockables (eau, énergie)
6063;Fournitures d'entretien et de petit équipement
6064;Fournitures administratives
6068;Autres matières et fournitures
6071;Marchandise (ou groupe) A
6092;d'autres approvisionnements stockés
6094;d'études et prestations de services
6097;RRRO de marchandises
6098;Rabais, remises et ristournes non affectés
6122;Crédit-bail mobilier
6132;Locations immobilières
6135;Locations mobilières
6136;Malis sur emballages
6152;Sur biens immobiliers
6155;Sur biens mobiliers
6161;Multirisques
6162;Assurance obligatoire dommage construction
6163;Assurance-transport
6164;Risques d'exploitation
6165;Insolvabilité clients
6181;Documentation générale
6183;Documentation technique
6185;Frais de colloques, séminaires, conférences
6214;Personnel détaché ou prêté à l'entreprise
6221;Commissions et courtages sur achats
6222;Commissions et courtages sur ventes
6224;Rémunérations des transitaires
6225;Rémunérations d'affacturage
6226;Honoraires
6227;Frais d'actes et de contentieux
6231;Annonces et insertions
6232;Echantillons
6233;Foires et expositions
6234;Cadeaux à la clientèle
6235;Primes
6237;Publications
6238;Divers (pourboires, dont courant)
6241;Transports sur achats
6244;Transports administratifs
6247;Transports collectifs du personnel
6248;Divers
6251;Voyages et déplacements
6256;Missions
6257;Réceptions
6272;Commissions et frais sur émission d'emprunts
6275;Frais sur effets
6276;Location de coffres
6278;Autres frais et commissions sur prestations de services
6284;Frais de recrutement de personnel
6311;Taxe sur les salaires
6312;Taxe d'apprentissage
6314;Cotisation pour défaut d'investissement obligatoire dans la construction
6318;Autres
6331;Versement de transport
6332;Allocations logement
6333;Participation des employeurs à la formation professionnelle continue
6334;Participation des employeurs à l'effort de construction
6335;Versements libératoires ouvrant droit à l'exonération de la taxe d'apprentissage
6338;Autres
6352;Taxe sur le chiffre d'affaires non récupérables
6354;Droits d'enregistrement et de timbre
6358;Autres droits
6371;Contribution sociale de solidarité à la charge des sociétés
6378;Taxes diverses
6411;Salaires, appointements
6412;Congés payés
6415;Supplément familial
6451;Cotisations à l'Urssaf
6452;Cotisations aux mutuelles
6454;Cotisations aux Assedic
6471;Prestations directes
6474;Versements aux autres œuvres sociales
6475;Médecine du travail, pharmacie
6516;Droits d'auteur et de reproduction
6541;Créances de l'exercice
6544;Créances des exercices antérieurs
6551;Quote-part de bénéfice transférée (comptabilité du gérant)
6555;Quote-part de perte supportée (comptabilité des associés non gérants)
6616;Intérêts bancaires et sur opérations de financement (escompte, )
6618;Intérêts des autres dettes
6711;Pénalités sur marchés (et dédits payés sur achats et ventes)
6712;Pénalités, amendes fiscales et pénales
6713;Dons, libéralités
6715;Subventions accordées
6717;Rappel d'impôts (autres qu'impôts sur les bénéfices)
6718;Autres charges exceptionnelles sur opérations de gestion
6752;Immobilisations corporelles
6756;Immobilisations financières
6758;Autres éléments d'actif
6781;Malis provenant de clauses d'indexation
6782;Lots
6783;Malis provenant du rachat par l'entreprise d'actions et obligations émises par elle-même
6788;Charges exceptionnelles diverses
6812;Dotations aux amortissements des charges d'exploitation à répartir
6815;Dotations aux provisions pour risques et charges d'exploitation
6816;Dotations aux dépréciations des immobilisations incorporelles et corporelles
6861;Dotations aux amortissements des primes de remboursement des obligations
6865;Dotations aux provisions pour risques et charges financiers
6866;Dotations aux provisions pour dépréciation des éléments financiers
6871;Dotations aux amortissements exceptionnels des immobilisations
6872;Dotations aux provisions réglementées (immobilisations)
6876;Dotations aux dépréciations exceptionnelles
6951;Impôts dus en France
6952;Contribution additionnelle à l'impôt sur les bénéfices
6954;Impôts dus à l'étranger
6981;Intégration fiscale - Charges
6989;Intégration fiscale - Produits
7011;Produits finis (ou groupe) A
7012;Produits finis (ou groupe) B
7041;Travaux de catégorie (ou activité) A
7042;Travaux de catégorie (ou activité) B
7071;Marchandises (ou groupe) A
7081;Produits des services exploités dans l'intérêt du personnel
7082;Commissions et courtages
7083;Locations diverses
7084;Mise à disposition de personnel facturée
7085;Ports et frais accessoires facturés
7086;Bonis sur reprises d'emballages consignés
7087;Bonifications obtenues des clients et primes sur ventes
7091;RRRO sur ventes de produits finis
7092;RRRO sur ventes de produits intermédiaires
7094;RRRO sur travaux
7095;RRRO sur études
7096;RRRO sur prestations de services
7097;RRRO sur ventes de marchandises
7098;RRRO sur produits des activités annexes
7133;Variation des en-cours de production de biens
7134;Variation des en-cours de production de services
7135;Variation des stocks de produits
7511;Redevances pour concessions, brevets, licences, marques, procédés, logiciels
7518;Autres droits et valeurs similaires
7551;Quote-part de perte transférée (comptabilité du gérant)
7555;Quote-part de bénéfice attribuée (comptabilité des associés non-gérants)
7626;Revenus des prêts
7631;Revenus des créances commerciales
7638;Revenus des créances diverses
7711;Dédits et pénalités perçus sur achats et sur ventes
7713;Libéralités reçues
7717;Dégrèvements d'impôts autres qu'impôts sur les bénéfices
7718;Autres produits exceptionnels sur opérations de gestion
7751;Immobilisations incorporelles
7756;Immobilisations financières
7758;Autres éléments d'actif
7781;Bonis provenant de clauses d'indexation
7782;Lots
7783;Bonis provenant du rachat par l'entreprise d'actions et d'obligations émises par elle-même
7788;Produits exceptionnels divers
7815;Reprises sur provisions pour risques et charges d'exploitation
7816;Reprises sur dépréciations des immobilisations incorporelles et corporelles
7817;Reprises sur provisions pour dépréciation des actifs circulants
7865;Reprises sur provisions pour risques et charges financiers
7866;Reprises sur provisions pour dépréciation des éléments financiers
7873;Reprises sur provisions réglementées (stocks)
7874;Reprises sur autres provisions réglementées
7875;Reprises sur provisions pour risques et charges exceptionnels
7876;Reprises sur dépréciations exceptionnelles
8011;Avals, cautions, garanties
8014;Effets circulant sous l'endos de l'entité
8016;Redevances crédit-bail restant à courir
8018;Autres engagements donnés
8021;Avals, cautions, garanties
8024;Créances escomptées non échues
8026;Engagements reçus pour utilisation en crédit-bail
8028;Autres engagements reçus
8091;Contrepartie
8092;Contrepartie
10131;Capital non amorti
10132;Capital amorti
10648;Autres réserves réglementées
10688;Réserves diverses
13912;Régions
13913;Départements
13915;Collectivités publiques
13916;Entreprises publiques
16884;sur emprunts auprès des établissements de crédit
16885;sur dépôts et cautionnements reçus
16886;sur participation des salariés aux résultats
20121;Frais de prospection
20122;Frais de publicité
21141;Carrières
21151;Ensembles immobiliers industriels
21155;Ensembles immobiliers administratifs et commerciaux
21158;Autres ensembles immobiliers
21311;Ensembles immobiliers industriels
21315;Ensembles immobiliers administratifs et commerciaux
21381;Voies de terre
21382;Voies de fer
21383;Voies d'eau
21384;Barrages
21385;Pistes d'aérodromes
21511;sur sol propre
21514;sur sol d'autrui
21531;sur sol propre
21534;sur sol d'autrui
27682;sur titres immobilisés
27684;sur prêts
27685;sur dépôts et cautionnements
27688;sur créances diverses
40974;Fournisseurs d'immobilisations
44551;TVA à décaisser
44558;Taxes assimilées à la TVA
44562;TVA sur immobilisations
44563;TVA transférée par d'autres entreprises
44566;TVA sur autres biens et services
44567;Crédit de TVA à reporter
44568;Taxes assimilées à la TVA
44581;Acomptes - Régime simplifié d'imposition
44582;Acomptes - Régime du forfait
44584;TVA récupérée d'avance
45615;Apports en numéraire
45621;Actionnaires - Capital souscrit et appelé, non versé
60211;Matières (ou groupe) C
60212;Matières (ou groupe) D
60223;Fournitures d'atelier et d'usine
60224;Fournitures de magasin
60225;Fourniture de bureau
60265;Emballages récupérables non identifiables
60267;Emballages à usage mixte
61637;RRRO sur ventes
63511;Taxe professionnelle
63512;Taxes foncières
63513;Autres impôts locaux
63514;Taxe sur les véhicules des sociétés
63541;Droits de mutation
66181;Intérêts des dettes commerciales
66188;Intérêts des dettes diverses
68112;Immobilisations corporelles
68161;Immobilisations incorporelles
68162;Immobilisations corporelles
68173;Stocks et en-cours
68174;Créances
68662;Immobilisations financières
68665;Valeurs mobilières de placement
68725;Amortissements dérogatoires
71341;Etudes en cours
71351;Produits intermédiaires
71355;Produits finis
78111;Immobilisations incorporelles
78112;Immobilisations corporelles
78162;Immobilisations corporelles
78173;Stocks et en-cours
78174;Créances
78662;Immobilisations financières
78665;Valeurs mobilières de placements
78726;Provision spéciale de réévaluation
78727;Plus-values réinvesties
80165;Crédit-bail immobilier
80261;Crédit-bail mobilier
80265;Crédit-bail immobilier
211581;Affectés aux opérations professionnelles
211588;Affectés aux opérations non professionnelles
900000000;Prime de rentabilité
